"Symbol","Name","Index Country","Country of incorporation","Cross-list symbol","Cross-list exchange","Foreign filer?","GICS Sector","Market cap","Average Volume","Action"
"AAGFF","Aftermath Silver Ltd.","Canada","","CV:AAG","TSX Venture Exchange","No","Unknown","$50,538,208","237,981","Analyze"
"AASZF","Atlantic Sapphire ASA","Norway","","NO:ASA","Oslo Bors Asa","No","Consumer Staples","$808,382,360","2,925","Analyze"
"AAU","Almaden Minerals Ltd.","Canada","","CT:AMM","Toronto Stock Exchange","Yes","Materials","$59,663,868","555,358","Analyze"
"AAUKF","Anglo American plc","United Kingdom","","LN:AAL","London Stock Exchange","No","Materials","$62,567,119,872","4,013","Analyze"
"ABEPF","Vision Lithium Inc.","Canada","","CV:VLI","TSX Venture Exchange","No","Materials","$19,845,137","1,656,805","Analyze"
"ABST","Absolute Software Corporation","Canada","","CT:ABT","Toronto Stock Exchange","Yes","Information Technology","$691,604,421","50,281","Analyze"
"ACB","Aurora Cannabis Inc.","Canada","","CT:ACB","Toronto Stock Exchange","Yes","Health Care","$1,402,240,778","4,859,983","Analyze"
"ACDVF","Air Canada","Canada","","CT:AC","Toronto Stock Exchange","No","Industrials","$7,075,908,875","195,346","Analyze"
"ACGBF","Agricultural Bank Of China","China","","CG:601288","Shanghai Stock Exchange","No","Financials","$10,322,096,763","6,600","Analyze"
"ACNNF","AusCann Group Holdings Ltd","Australia","","AT:AC8","Asx - All Markets","No","Unknown","$33,217,252","27,758","Analyze"
"ACST","Acasti Pharma Inc.","Canada","","CV:ACST","TSX Venture Exchange","No","Health Care","$101,124,654","7,812,239","Analyze"
"ACUIF","AcuityAds Holdings Inc","Canada","","CT:AT","Toronto Stock Exchange","No","Communication Services","$629,427,928","2,600","Analyze"
"ADDDF","adidas AG","Germany","","GF:ADS","Frankfurt Stock Exchange","No","Consumer Discretionary","$77,500,939,126","423","Analyze"
"ADVZF","Adventus Mining Corp.","Canada","","CV:ADZN","TSX Venture Exchange","No","Materials","$104,362,312","13,860","Analyze"
"AEM","Agnico Eagle Mines Limited","Canada","Canada","CT:AEM","Toronto Stock Exchange","Yes","Materials","$15,635,585,530","1,059,232","Analyze"
"AEZS","Aeterna Zentaris Inc.","Canada","Canada","CT:AEZS","Toronto Stock Exchange","Yes","Health Care","$87,788,033","1,244,388","Analyze"
"AFTPF","Afterpay Ltd","Australia","","AT:APT","Asx - All Markets","No","Information Technology","$27,659,036,228","896","Analyze"
"AG","First Majestic Silver Corp","Canada","Canada","CT:FR","Toronto Stock Exchange","Yes","Materials","$3,409,849,190","3,667,341","Analyze"
"AGI","Alamos Gold Inc Class A","Canada","Canada","CT:AGI","Toronto Stock Exchange","Yes","Materials","$3,171,059,686","2,791,346","Analyze"
"AHODF","Royal Ahold Delhaize N.V.","The Netherlands","","NA:AD","Nyse Euronext - Euronext Amsterdam","No","Consumer Staples","$32,558,646,598","322","Analyze"
"AKOM","Aerkomm Inc.","France","","FP:AKOM","Euronext Paris","No","Unknown","$25,152,703","0","Analyze"
"AKU","Akumin Inc.","Canada","Canada","CT:AKU","Toronto Stock Exchange","Yes","Health Care","$224,133,295","45,623","Analyze"
"AKZOF","Akzo Nobel N.V.","The Netherlands","","NA:AKZA","Nyse Euronext - Euronext Amsterdam","No","Materials","$22,694,935,194","0","Analyze"
"ALBHF","Alibaba Health Info Tech","China","","HK:0241","Hong Kong Exchange","No","Health Care","$20,368,779,987","0","Analyze"
"ALC","Alcon Inc.","Switzerland","","SE:ALC","Six Swiss Exchange","Yes","Health Care","$36,277,626,000","649,247","Analyze"
"ALEAF","Aleafia Health Inc.","Canada","","CT:ALEF","Toronto Stock Exchange","No","Unknown","$94,607,701","560,812","Analyze"
"ALKEF","Alkane Resources Ltd","Australia","","AT:ALK","Asx - All Markets","No","Materials","$498,995,353","7,850","Analyze"
"ALMTF","Almonty Industries Inc.","Canada","","CT:ALL","Toronto Stock Exchange","No","Materials","$151,825,583","0","Analyze"
"ALVOF","Alvopetro Energy Ltd.","Canada","","CV:ALV","TSX Venture Exchange","No","Energy","$80,960,747","124,000","Analyze"
"ALYA","Alithya Group Inc. - Class A Subordinate Voting Shares","Canada","Canada","CT:ALYA","Toronto Stock Exchange","Yes","Information Technology","$238,856,274","104,333","Analyze"
"AMBFF","AMBU B","Denmark","Denmark","DC:AMBUB","Omx Nordic Exchange Copenhagen A/S","Yes","Health Care","$8,279,533,489","0","Analyze"
"AMSYF","ArcelorMittal","Luxembourg","","NA:MT","Nyse Euronext - Euronext Amsterdam","No","Materials","$37,561,700,834","0","Analyze"
"AMXEF","Amex Exploration Inc.","Canada","","CV:AMX","TSX Venture Exchange","No","Materials","$170,495,672","175,106","Analyze"
"ANXGF","Anaconda Mining Inc.","Canada","","CT:ANX","Toronto Stock Exchange","No","Materials","$114,577,888","90,648","Analyze"
"AOTVF","Ascot Resources Ltd.","Canada","","CT:AOT","Toronto Stock Exchange","No","Materials","$375,675,547","89,253","Analyze"
"AQN","Algonquin Power & Utilities Corp.","Canada","","CT:AQN","Toronto Stock Exchange","Yes","Utilities","$9,890,860,219","1,960,180","Analyze"
"ARBKF","Argo Blockchain PLC","United Kingdom","","LN:ARB","London Stock Exchange","No","Communication Services","$714,026,466","0","Analyze"
"ARESF","Artis Real Estate Investment Trust","Canada","","CT:AX-UN","Toronto Stock Exchange","No","Real Estate","$1,227,002,792","1,400","Analyze"
"ARREF","Amerigo Resources Ltd","Canada","","CT:ARG","Toronto Stock Exchange","No","Materials","$189,061,993","8,915","Analyze"
"ASCJF","American Shipping Company ASA","Norway","","NO:AMSC","Oslo Bors Asa","No","Unknown","$215,188,593","728","Analyze"
"ASDRF","Ascendant Resources Inc.","Canada","","CT:ASND","Toronto Stock Exchange","No","Unknown","$13,642,063","124,000","Analyze"
"ASM","Avino Silver & Gold Mines Ltd.","Canada","","CT:ASM","Toronto Stock Exchange","Yes","Materials","$104,902,766","531,096","Analyze"
"ATBPF","Antibe Therapeutics Inc.","Canada","","CV:ATE","TSX Venture Exchange","No","Health Care","$133,417,961","0","Analyze"
"ATUSF","Altius Minerals Corporation","Canada","","CT:ALS","Toronto Stock Exchange","No","Materials","$575,192,866","17,002","Analyze"
"AUPH","Aurinia Pharmaceuticals Inc","Canada","Canada","CT:AUP","Toronto Stock Exchange","Yes","Health Care","$1,728,485,496","3,842,331","Analyze"
"AUXXF","Allegiant Gold Ltd.","Canada","","CV:AUAU","TSX Venture Exchange","No","Materials","$21,549,167","42,196","Analyze"
"AUY","Yamana Gold Inc.","Canada","Canada","CT:YRI","Toronto Stock Exchange","Yes","Materials","$4,339,119,023","14,354,004","Analyze"
"AVCNF","Avicanna Inc","Canada","","CT:AVCN","Toronto Stock Exchange","No","Unknown","$33,017,259","105","Analyze"
"AVLNF","Avalon Advanced Materials Inc.","Canada","","CT:AVL","Toronto Stock Exchange","No","Materials","$39,824,941","36,700","Analyze"
"AWCMF","Alumina Limited","Australia","","AT:AWC","Asx - All Markets","No","Materials","$3,699,643,807","0","Analyze"
"AXAHF","AXA SA","France","","FP:CS","Euronext Paris","No","Financials","$65,533,791,325","3,411","Analyze"
"AXDDF","Azucar Minerals Ltd.","Canada","","CV:AMZ","TSX Venture Exchange","No","Materials","$6,460,040","76,549","Analyze"
"AXNVF","Axion Ventures Inc","Canada","","CV:AXV","TSX Venture Exchange","No","Unknown","$28,148,285","1,550","Analyze"
"AXU","Alexco Resource Corp","Canada","","CT:AXU","Toronto Stock Exchange","Yes","Materials","$328,598,644","679,045","Analyze"
"AYRWF","Ayr Strategies Inc.","Canada","","CF:AYR","Canadian Securities Exchange","No","Consumer Discretionary","$1,451,183,253","0","Analyze"
"BABYF","Else Nutrition Holdings Inc","Canada","","CV:BABY","TSX Venture Exchange","No","Consumer Staples","$217,242,161","121,649","Analyze"
"BAM","Brookfield Asset Management Inc.","Canada","Canada","CT:BAM-A","Toronto Stock Exchange","Yes","Financials","$85,356,432,647","3,557,350","Analyze"
"BAP","Credicorp Ltd","Peru","Bermuda","PE:BAP","Bolsa De Valores De Lima","Yes","Financials","$9,814,817,145","538,762","Analyze"
"BAYZF","Beyer AG","Germany","Germany","GF:BAYN","Frankfurt Stock Exchange","Yes","Health Care","$58,994,566,124","853","Analyze"
"BB","Blackberry Limited","Canada","Canada","CT:BB","Toronto Stock Exchange","No","Information Technology","$5,719,102,184","8,449,989","Analyze"
"BBKCF","BIGG Digital Assets Inc.","Canada","","CF:BIGG","Canadian Securities Exchange","No","Financials","$237,365,592","17,316,515","Analyze"
"BBRYF","Burberry Group Plc","United Kingdom","","LN:BRBY","London Stock Exchange","No","Consumer Discretionary","$11,923,536,090","61,643","Analyze"
"BBSRF","Bluestone Resources Inc.","Canada","","CV:BSR","TSX Venture Exchange","No","Unknown","$184,694,934","35,545","Analyze"
"BCE","BCE, Inc.","Canada","","CT:BCE","Toronto Stock Exchange","Yes","Communication Services","$45,033,083,392","932,724","Analyze"
"BCEKF","Bear Creek Mining Corporation","Canada","","CV:BCM","TSX Venture Exchange","No","Materials","$146,642,296","35,104","Analyze"
"BDRAF","Bombardier Inc. Class A","Canada","","CT:BBD-A","Toronto Stock Exchange","No","Unknown","$404,444,067","53,379","Analyze"
"BDRBF","Bombardier Inc. Class B","Canada","","CT:BBD-B","Toronto Stock Exchange","No","Industrials","$2,490,104,072","450,659","Analyze"
"BFARF","Bitfarms Ltd","Canada","","CV:BITF","TSX Venture Exchange","No","Financials","$682,240,031","1,265,158","Analyze"
"BFFAF","BASF SE","Germany","","GF:BAS","Frankfurt Stock Exchange","No","Materials","$74,038,475,675","111","Analyze"
"BHC","Bausch Health Companies Inc.","Canada","Canada","CT:BHC","Toronto Stock Exchange","No","Health Care","$10,626,430,489","2,346,627","Analyze"
"BHNGF","Bhang Inc.","Canada","","CF:BHNG","Canadian Securities Exchange","No","Unknown","$6,205,319","6,716","Analyze"
"BILZF","Ignite International Brands Ltd","Canada","","CF:BILZ","Canadian Securities Exchange","No","Unknown","$95,460,674","36,657","Analyze"
"BIPC","Brookfield Infrastructure Partners LP Class A Subordinate Voting Shares","Canada","Canada","CT:BIPC","Toronto Stock Exchange","Yes","Utilities","$2,976,094,080","202,283","Analyze"
"BKLLF","Codebase Ventures Inc.","Canada","","CF:CODE","Canadian Securities Exchange","No","Financials","$4,889,039","459,991","Analyze"
"BLDP","Ballard Power Systems","Canada","","CT:BLDP","Toronto Stock Exchange","Yes","Industrials","$4,713,680,252","2,606,128","Analyze"
"BLEVF","Beleave Inc.","Canada","","CF:BE","Canadian Securities Exchange","No","Unknown","$1,631,553","10,210","Analyze"
"BLU","BELLUS Health Inc.","Canada","","CT:BLU","Toronto Stock Exchange","Yes","Health Care","$228,745,094","406,211","Analyze"
"BMO","Bank Of Montreal","Canada","","CT:BMO","Toronto Stock Exchange","Yes","Financials","$63,529,850,890","836,818","Analyze"
"BNIGF","Beroni Group Ltd.","Australia","","AO:BTG","National Stock Exchange of Australia","No","Unknown","$18,930,587","550","Analyze"
"BNOEF","Bionomics Ltd","Australia","","AT:BNO","Asx - All Markets","No","Health Care","$141,063,544","203,220","Analyze"
"BNPQF","BNP Paribas SA Class A","France","","FP:BNP","Euronext Paris","No","Financials","$75,237,873,372","1,024","Analyze"
"BNS","The Bank Of Nova Scotia","Canada","","CT:BNS","Toronto Stock Exchange","Yes","Financials","$75,277,608,589","1,058,509","Analyze"
"BONXF","BonTerra Resources Inc.","Canada","","CV:BTR","TSX Venture Exchange","No","Materials","$100,568,220","39,831","Analyze"
"BPRMF","Blue Prism Group PLC","United Kingdom","United Kingdom","LN:PRSM","London Stock Exchange","Yes","Information Technology","$1,161,427,416","3,624","Analyze"
"BRGGF","Bragg Gaming Group Inc.","Canada","","CV:BRAG","TSX Venture Exchange","No","Unknown","$143,722,652","49,331","Analyze"
"BRPHF","Galaxy Digital Holdings Ltd","Canada","","CT:GLXY","Toronto Stock Exchange","No","Communication Services","$1,591,182,130","580,896","Analyze"
"BTG","B2Gold Corp","Canada","Canada","CT:BTO","Toronto Stock Exchange","Yes","Materials","$4,384,768,906","8,744,200","Analyze"
"BTGOF","BT Group PLC","United Kingdom","United Kingdom","LN:BT-A","London Stock Exchange","Yes","Communication Services","$23,308,132,859","21,555","Analyze"
"BUR","Burford Capital Limited","United Kingdom","","LN:BUR","London Stock Exchange","Yes","Financials","$2,354,786,178","107,374","Analyze"
"BUROF","Burcon NutraScience Corporation","Canada","","CT:BU","Toronto Stock Exchange","No","Materials","$447,821,587","38,655","Analyze"
"BYDDF","BYD Company Limited","China","","HK:1211","Hong Kong Exchange","No","Communication Services","$34,584,000,000","57,673","Analyze"
"CAE","CAE Inc.","Canada","","CT:CAE","Toronto Stock Exchange","No","Industrials","$9,551,352,485","347,748","Analyze"
"CANSF","Willow Biosciences Inc.","Canada","","CT:WLLW","Toronto Stock Exchange","No","Materials","$89,719,347","29,690","Analyze"
"CBWTF","Auxly Cannabis Group Inc.","Canada","","CV:XLY","TSX Venture Exchange","No","Health Care","$168,973,066","1,195,834","Analyze"
"CCHWF","Columbia Care Inc.","Canada","","CF:CCHW","Canadian Securities Exchange","No","Consumer Discretionary","$1,807,489,923","367,825","Analyze"
"CCJ","Cameco Corporation","Canada","Canada","CT:CCO","Toronto Stock Exchange","Yes","Energy","$6,932,830,781","3,673,025","Analyze"
"CFGMF","California Gold Mining Inc.","Canada","","CF:CGM","Canadian Securities Exchange","No","Materials","$6,784,282","3,175","Analyze"
"CGC","Canopy Growth Corporation","Canada","","CT:WEED","Toronto Stock Exchange","No","Health Care","$7,390,639,099","3,102,274","Analyze"
"CGMLF","Chalice Gold Mines Limited","Australia","","AT:CHN","Asx - All Markets","No","Materials","$1,838,344,183","22,000","Analyze"
"CHPGF","Chesapeake Gold Corp.","Canada","","CV:CKG","TSX Venture Exchange","No","Materials","$218,672,847","10,442","Analyze"
"CHXMF","Troilus Gold Corp.","Canada","","CT:TLG","Toronto Stock Exchange","No","Materials","$138,134,297","146,819","Analyze"
"CIGI","Colliers International Group Inc.","Canada","","CT:CIGI","Toronto Stock Exchange","Yes","Real Estate","$5,470,500,392","54,720","Analyze"
"CIXX","CI Financial Corp.","Canada","","CT:CIX","Toronto Stock Exchange","Yes","Financials","$3,739,748,710","25,328","Analyze"
"CKHUF","CK Hutchison Holdings Limited","China","","HK:0001","Hong Kong Exchange","No","Industrials","$27,861,641,320","900","Analyze"
"CLABF","Core One Labs Inc.","Canada","","CF:COOL","Canadian Securities Exchange","No","Unknown","$35,791,463","281,596","Analyze"
"CLS","Celestica","Canada","Canada","CT:CLS","Toronto Stock Exchange","Yes","Information Technology","$965,120,969","477,221","Analyze"
"CM","Canadian Imperial Bank Of Commerce","Canada","Canada","CT:CM","Toronto Stock Exchange","Yes","Financials","$51,846,287,733","279,594","Analyze"
"CMCL","Caledonia Mining Corporation Plc","Jersey","Jersey","CT:CAL","Toronto Stock Exchange","Yes","Materials","$154,151,429","55,043","Analyze"
"CNHI","CNH Industrial N.V.","The Netherlands","The Netherlands","IM:CNHI","Borsa Italiana S.P.A.","Yes","Industrials","$22,556,148,447","2,654,398","Analyze"
"CNI","Canadian National Railway Company","Canada","","CT:CNR","Toronto Stock Exchange","Yes","Industrials","$75,972,658,752","1,679,889","Analyze"
"CNNEF","Canacol Energy Ltd.","Canada","","CT:CNE","Toronto Stock Exchange","No","Energy","$449,858,107","29,303","Analyze"
"CNQ","Canadian Natural Resources Limited","Canada","Canada","CT:CNQ","Toronto Stock Exchange","Yes","Energy","$38,554,582,723","2,778,234","Analyze"
"CNSNF","Constantine Metal Resources Ltd.","Canada","","CV:CEM","TSX Venture Exchange","No","Unknown","$19,478,367","5,700","Analyze"
"CP","Canadian Pacific Railway Limited","Canada","","CT:CP","Toronto Stock Exchange","No","Industrials","$49,013,131,094","2,454,730","Analyze"
"CPG","Crescent Point Energy Corporation","Canada","Canada","CT:CPG","Toronto Stock Exchange","Yes","Energy","$2,082,407,387","4,148,320","Analyze"
"CPMMF","Crystal Peak Minerals Inc.","Canada","","CV:CPM","TSX Venture Exchange","No","Materials","$2,815,846","0","Analyze"
"CRECF","Critical Elements Lithium Corporation","Canada","","CV:CRE","TSX Venture Exchange","No","Materials","$177,953,077","59,489","Analyze"
"CRHCF","CRH plc","Ireland","","LN:CRH","London Stock Exchange","No","Materials","$38,864,865,198","0","Analyze"
"CRLBF","Cresco Labs Inc.","Canada","","CF:CL","Canadian Securities Exchange","No","Consumer Discretionary","$2,402,716,781","374,824","Analyze"
"CRON","Cronos Group Inc.","Canada","","CT:CRON","Toronto Stock Exchange","No","Health Care","$2,725,334,660","1,463,941","Analyze"
"CRPOF","Ceapro Inc.","Canada","","CV:CZO","TSX Venture Exchange","No","Materials","$42,375,991","1,126","Analyze"
"CRSXF","Corsa Coal Corp.","Canada","","CV:CSO","TSX Venture Exchange","No","Materials","$36,146,277","122,550","Analyze"
"CRTPF","Cardiol Therapeutics Inc. Class A","Canada","","CT:CRDL","Toronto Stock Exchange","No","Unknown","$96,651,310","19,741","Analyze"
"CSGKF","Credit Suisse Group AG","Switzerland","","VX:CSGN","Six Swiss - Blue Chips Segment","No","Financials","$27,117,149,176","0","Analyze"
"CTARF","Centaurus Energy Inc.","Canada","","CV:CTA","TSX Venture Exchange","No","Energy","$7,562,423","37,409","Analyze"
"CTEQF","Clean Teq Holdings Limited","Australia","","AT:CLQ","Asx - All Markets","No","Industrials","$168,769,764","25,669","Analyze"
"CTSDF","Converge Technology Solutions Corp.","Canada","","CT:CTS","Toronto Stock Exchange","No","Information Technology","$1,598,783,697","94,580","Analyze"
"CTVEF","Certive Solutions Inc.","Canada","","CF:CBP","Canadian Securities Exchange","No","Health Care","$8,220,892","1,000","Analyze"
"CUKPF","Carnival PLC","United Kingdom","United Kingdom","LN:CCL","London Stock Exchange","Yes","Consumer Discretionary","$180,235,360","2,429","Analyze"
"CURLF","Curaleaf Holdings Inc.","Canada","","CF:CURA","Canadian Securities Exchange","No","Consumer Discretionary","$7,519,785,819","305,473","Analyze"
"CVALF","Covalon Technologies Ltd.","Canada","","CV:COV","TSX Venture Exchange","No","Health Care","$40,535,323","600","Analyze"
"CVE","Cenovus Energy Inc","Canada","Canada","CT:CVE","Toronto Stock Exchange","Yes","Energy","$16,442,740,877","8,864,882","Analyze"
"CWBHF","Charlottes Web Holdings Inc.","Canada","","CT:CWEB","Toronto Stock Exchange","No","Health Care","$351,934,477","553,624","Analyze"
"CXBMF","Calibre Mining Corp.","Canada","","CT:CXB","Toronto Stock Exchange","No","Materials","$428,212,070","68,307","Analyze"
"CXXIF","C21 Investments Inc","Canada","","CF:CXXI","Canadian Securities Exchange","No","Consumer Discretionary","$94,998,251","62,810","Analyze"
"DB","Deutsche Bank AG","Germany","Germany","GF:DBK","Frankfurt Stock Exchange","Yes","Financials","$25,627,986,824","3,548,611","Analyze"
"DDAIF","Daimler AG","Germany","","GF:DAI","Frankfurt Stock Exchange","No","Consumer Discretionary","$96,788,193,830","0","Analyze"
"DFLYF","Draganfly Inc","Canada","","CF:DFLY","Canadian Securities Exchange","No","Communication Services","$78,727,793","294,559","Analyze"
"DGEAF","Diageo PLC","United Kingdom","United Kingdom","LN:DGE","London Stock Exchange","Yes","Consumer Staples","$116,169,359,210","7,679","Analyze"
"DGOCF","Diversified Gas & Oil PLC","United Kingdom","","LN:DGOC","London Stock Exchange","No","Energy","$1,224,327,776","0","Analyze"
"DLAKF","Deutsche Lufthansa AG","Germany","","GF:LHA","Frankfurt Stock Exchange","No","Industrials","$7,005,545,874","395","Analyze"
"DMGGF","DMG Blockchain Solutions Inc.","Canada","","CV:DMGI","TSX Venture Exchange","No","Information Technology","$113,160,144","6,798,328","Analyze"
"DNN","Denison Mines Corp","Canada","","CT:DML","Toronto Stock Exchange","Yes","Materials","$877,077,419","7,273,167","Analyze"
"DOOO","BRP Inc.","Canada","","CT:DOO","Toronto Stock Exchange","Yes","Consumer Discretionary","$3,072,954,198","68,079","Analyze"
"DPSTF","Deutsche Post AG","Germany","","GF:DPW","Frankfurt Stock Exchange","No","Industrials","$83,376,307,632","0","Analyze"
"DRTT","DIRTT Environmental Solutions Ltd.","Canada","","CT:DRT","Toronto Stock Exchange","No","Industrials","$413,318,818","138,593","Analyze"
"DSGX","The Descartes Systems Group Inc.","Canada","Canada","CT:DSG","Toronto Stock Exchange","Yes","Information Technology","$6,146,009,866","45,703","Analyze"
"DSVMF","Discovery Metals Corp","Canada","","CV:DSV","TSX Venture Exchange","No","Unknown","$568,109,474","150,072","Analyze"
"DTEGF","Deutsche Telekom AG","Germany","","GF:DTE","Frankfurt Stock Exchange","No","Communication Services","$98,086,047,078","739","Analyze"
"DYFSF","DynaCERT Inc.","Canada","","CV:DYA","TSX Venture Exchange","No","Industrials","$108,544,166","31,486","Analyze"
"DYLLF","Deep Yellow Limited","Australia","","AT:DYL","Asx - All Markets","No","Unknown","$175,183,185","384,429","Analyze"
"EDVMF","Endeavour Mining Corporation","Canada","","CT:EDV","Toronto Stock Exchange","No","Materials","$6,000,976,608","39,608","Analyze"
"EEVVF","Eve & Co. Inc.","Canada","","CV:EVE","TSX Venture Exchange","No","Unknown","$7,916,346","1,809,368","Analyze"
"EFLVF","Electrovaya Inc.","Canada","","CT:EFL","Toronto Stock Exchange","No","Industrials","$122,316,869","215,682","Analyze"
"EGO","Eldorado Gold Corporation","Canada","Canada","CT:ELD","Toronto Stock Exchange","Yes","Materials","$1,688,924,196","1,537,051","Analyze"
"ELLXF","Elixinol Global Ltd.","Australia","","AT:EXL","Asx - All Markets","No","Unknown","$26,780,368","118,677","Analyze"
